2013-03-13 09:37:29 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 201 : mysqli exec error : Column 'display_order' cannot be null
2013-03-13 09:37:51 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 201 : mysqli exec error : Column 'display_order' cannot be null
2013-03-13 09:37:59 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 201 : mysqli exec error : Column 'display_order' cannot be null
2013-03-13 09:38:16 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 201 : mysqli exec error : Column 'display_order' cannot be null
2013-03-13 09:42:35 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 201 : mysqli exec error : Column 'display_order' cannot be null
2013-03-13 09:47:09 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 197 : mysqli exec error : Duplicate entry 'wedding' for key 'PRIMARY'
2013-03-13 09:47:49 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 197 : mysqli exec error : Duplicate entry 'wedding' for key 'PRIMARY'
2013-03-13 09:51:46 [127.0.0.1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 197 : mysqli exec error : Duplicate entry 'wedding' for key 'PRIMARY'
2013-03-13 09:51:52 [127.0.0.1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 197 : mysqli exec error : Duplicate entry '웨딩 관련된거' for key 'title'
2013-03-13 16:26:38 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 197 : mysqli exec error : Duplicate entry '' for key 'PRIMARY'
2013-03-13 20:53:50 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 151 : prepared statements error : insert into cafe(category_id, id, title, display_order, cre_time) values(?, ?, ?, ?, ?, now())
2013-03-13 20:54:29 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 168 : bind param error : insert into cafe(category_id, id, title, display_order, cre_time) values(?, ?, ?, ?, now())=>ssssi(5) Array
(
    [0] => toy
    [1] => remonterrace
    [2] => 레몬테라스
    [3] => 100
)

2013-03-14 09:41:30 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 193 : mysqli exec error : Duplicate entry 'ltevent' for key 'PRIMARY'
2013-03-14 09:41:30 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 193 : mysqli exec error : Duplicate entry 'pinkterrace' for key 'PRIMARY'
